Row_num    FEB_num    VMM_num    VMM_ch         strip_ch
0          1          4          49             0
0          1          4          48             1
0          1          4          47             2
0          1          4          46             3
0          1          4          45             4
0          1          4          44             5
0          1          4          43             6
0          1          4          42             7
0          1          4          41             8
0          1          4          40             9
0          1          4          39            10
0          1          4          38            11
0          1          4          37            12
0          1          4          36            13
0          1          4          35            14
0          1          4          34            15
0          1          4          33            16
0          1          4          32            17
0          1          4          31            18
0          1          4          30            19
0          1          4          29            20
0          1          4          28            21
0          1          4          27            22
0          1          4          26            23
0          1          4          25            24
0          1          4          24            25
0          1          4          23            26
0          1          4          22            27
0          1          4          21            28
0          1          4          20            29
0          1          4          19            30
0          1          4          18            31
0          1          4          17            32
0          1          4          16            33
0          1          4          15            34
0          1          4          14            35
0          1          4          13            36
0          1          4          12            37
0          1          4          11            38
0          1          4          10            39
0          1          4          9             40
0          1          4          8             41
0          1          4          7             42
0          1          4          6             43
0          1          4          5             44
0          1          4          4             45
0          1          4          3             46
0          1          4          2             47
0          1          4          1             48
0          1          4          0             49
0          1          3          57            50
0          1          3          56            51
0          1          3          55            52
0          1          3          54            53
0          1          3          53            54
0          1          3          52            55
0          1          3          51            56
0          1          3          50            57
0          1          3          49            58
0          1          3          48            59
0          1          3          47            60
0          1          3          46            61
0          1          3          45            62
0          1          3          44            63
0          1          3          43            64
0          1          3          42            65
0          1          3          41            66
0          1          3          40            67
0          1          3          39            68
0          1          3          38            69
0          1          3          37            70
0          1          3          36            71
0          1          3          35            72
0          1          3          34            73
0          1          3          33            74
0          1          3          32            75
0          1          3          31            76
0          1          3          30            77
0          1          3          29            78
0          1          3          28            79
0          1          3          27            80
0          1          3          26            81
0          1          3          25            82
0          1          3          24            83
0          1          3          23            84
0          1          3          22            85
0          1          3          21            86
0          1          3          20            87
0          1          3          19            88
0          1          3          18            89
0          1          3          17            90
0          1          3          16            91
0          1          3          15            92
0          1          3          14            93
0          1          3          13            94
0          1          3          12            95
0          1          3          11            96
0          1          3          10            97
0          1          3          9             98
0          1          3          8             99
0          1          3          7            100
0          1          3          6            101
0          1          3          5            102
0          1          3          4            103
0          1          3          3            104
0          1          3          2            105
0          1          2          55            106
0          1          2          54            107
0          1          2          53            108
0          1          2          52            109
0          1          2          51            110
0          1          2          50            111
0          1          2          49            112
0          1          2          48            113
0          1          2          47            114
0          1          2          46            115
0          1          2          45            116
0          1          2          44            117
0          1          2          43            118
0          1          2          42            119
0          1          2          41            120
0          1          2          40            121
0          1          2          39            122
0          1          2          38            123
0          1          2          37            124
0          1          2          36            125
0          1          2          35            126
0          1          2          34            127
0          1          2          33            128
0          1          2          32            129
0          1          2          31            130
0          1          2          30            131
0          1          2          29            132
0          1          2          28            133
0          1          2          27            134
0          1          2          26            135
0          1          2          25            136
0          1          2          24            137
0          1          2          23            138
0          1          2          22            139
0          1          2          21            140
0          1          2          20            141
0          1          2          19            142
0          1          2          18            143
0          1          2          17            144
0          1          2          16            145
0          1          2          15            146
0          1          2          14            147
0          1          2          13            148
0          1          2          12            149
0          1          2          11            150
0          1          2          10            151
0          1          2          9            152
0          1          2          8            153
0          1          2          7            154
0          1          2          6            155
0          1          2          5            156
0          1          2          4            157
0          1          2          3            158
0          1          2          2            159
0          1          2          1            160
0          1          2          0            161
0          1          1          49            162
0          1          1          48            163
0          1          1          47            164
0          1          1          46            165
0          1          1          45            166
1          5          2          54             0
1          5          2          55             1
1          5          3          2              2
1          5          3          3              3
1          5          3          4              4
1          5          3          5              5
1          5          3          6              6
1          5          3          7              7
1          5          3          8              8
1          5          3          9              9
1          5          3          10            10
1          5          3          11            11
1          5          3          12            12
1          5          3          13            13
1          5          3          14            14
1          5          3          15            15
1          5          3          16            16
1          5          3          17            17
1          5          3          18            18
1          5          3          19            19
1          5          3          20            20
1          5          3          21            21
1          5          3          22            22
1          5          3          23            23
1          5          3          24            24
1          5          3          25            25
1          5          3          26            26
1          5          3          27            27
1          5          3          28            28
1          5          3          29            29
1          5          3          30            30
1          5          3          31            31
1          5          3          32            32
1          5          3          33            33
1          5          3          34            34
1          5          3          35            35
1          5          3          36            36
1          5          3          37            37
1          5          3          38            38
1          5          3          39            39
1          5          3          40            40
1          5          3          41            41
1          5          3          42            42
1          5          3          43            43
1          5          3          44            44
1          5          3          45            45
1          5          3          46            46
1          5          3          47            47
1          5          3          48            48
1          5          3          49            49
1          5          3          50            50
1          5          3          51            51
1          5          3          52            52
1          5          3          53            53
1          5          3          54            54
1          5          3          55            55
1          5          3          56            56
1          5          3          57            57
1          5          4          0             58
1          5          4          1             59
1          5          4          2             60
1          5          4          3             61
1          5          4          4             62
1          5          4          5             63
1          5          4          6             64
1          5          4          7             65
1          5          4          8             66
1          5          4          9             67
1          5          4          10            68
1          5          4          11            69
1          5          4          12            70
